left,right,container_chain,status,left_sha256,right_sha256,left_member_count,right_member_count,member_count_delta
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/application/custom_ball/data/cb_data.narc,identical,4b25ee9d91e977fcbf4be1cab7d2ba15cfb6d58983d5ef5ebeaca137409506a1,4b25ee9d91e977fcbf4be1cab7d2ba15cfb6d58983d5ef5ebeaca137409506a1,295,295,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/application/wifi_earth/wifi_earth.narc,identical,a529c990a715b9599316abf4049a14a23b4c18a019b69a41b2630fb921460ff6,a529c990a715b9599316abf4049a14a23b4c18a019b69a41b2630fb921460ff6,8,8,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/application/wifi_earth/wifi_earth_place.narc,identical,067806345d96ce91f3cd76aaafddf4b6a915c512499fbf61f49e0368a59c7e84,067806345d96ce91f3cd76aaafddf4b6a915c512499fbf61f49e0368a59c7e84,19,19,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/application/zukanlist/zkn_data/zukan_data.narc,identical,60a0e09f5a78a625cca5b7e150fd6c17dcb98bc0ba2859f7119ac585d6e04432,60a0e09f5a78a625cca5b7e150fd6c17dcb98bc0ba2859f7119ac585d6e04432,58,58,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/application/zukanlist/zkn_data/zukan_enc_diamond.narc,identical,b8cb42e92606e365f31bb869ae606aade7fbecb60806f98016bc52c24734a992,b8cb42e92606e365f31bb869ae606aade7fbecb60806f98016bc52c24734a992,4954,4954,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/application/zukanlist/zkn_data/zukan_enc_pearl.narc,identical,a57924fd8444d022afbf56dd0fe0bb9c82108e5dbfacb65572989d1227288eaa,a57924fd8444d022afbf56dd0fe0bb9c82108e5dbfacb65572989d1227288eaa,4954,4954,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/arc/bm_anime.narc,identical,5b46f1446499c070966515ab667ab4223bf00ea62b1b5397eda43eea629ec68b,5b46f1446499c070966515ab667ab4223bf00ea62b1b5397eda43eea629ec68b,64,64,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/arc/bm_anime_list.narc,identical,3547a1cc82d4388f2fc37fcf6b25176b686645dc4b0c9b70d179d9865cdd8c07,3547a1cc82d4388f2fc37fcf6b25176b686645dc4b0c9b70d179d9865cdd8c07,535,535,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/arc/encdata_ex.narc,identical,5a466b26b3595ff878992810881d77bda8661c2776e92036612e12fdc9026c8d,5a466b26b3595ff878992810881d77bda8661c2776e92036612e12fdc9026c8d,12,12,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/arc/ppark.narc,identical,78ed2c1252ca3d76324b60f2fedbb7f20bc84e3ac08f55f87aa1e7ac38173528,78ed2c1252ca3d76324b60f2fedbb7f20bc84e3ac08f55f87aa1e7ac38173528,1,1,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/arc/ship_demo.narc,identical,b596db0ce389ad0b3bbb3dbe4112f8e9306a3b7519036eeac6cb0ff7f36931fd,b596db0ce389ad0b3bbb3dbe4112f8e9306a3b7519036eeac6cb0ff7f36931fd,20,20,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/arc/tv.narc,identical,6bf46c807745f991dae47e3633aeae516479c2e5d84acc10767fe0c9a9bafd55,6bf46c807745f991dae47e3633aeae516479c2e5d84acc10767fe0c9a9bafd55,3,3,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/b_tower/btdpm.narc,identical,776d9ad316bd6a9d97f45ca6dc5405dbf2e3e96f75a36118619bcad4081bec6c,776d9ad316bd6a9d97f45ca6dc5405dbf2e3e96f75a36118619bcad4081bec6c,951,951,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/b_tower/btdtr.narc,identical,9d8e016906e413d77a3a30856764f7605c03b9c0d956601e6262a4918b0f0040,9d8e016906e413d77a3a30856764f7605c03b9c0d956601e6262a4918b0f0040,307,307,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/graphic/b_bag_gra.narc,identical,1bad36d04c4462f5e43df643f0f2bb388f0230e917253d66401db9e2ae39ed7b,1bad36d04c4462f5e43df643f0f2bb388f0230e917253d66401db9e2ae39ed7b,4,4,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/graphic/b_plist_gra.narc,identical,1786a3fdf7ddfbdb88e4c723ea7e16ebf9b4b45599264aac7bdeb523db57b300,1786a3fdf7ddfbdb88e4c723ea7e16ebf9b4b45599264aac7bdeb523db57b300,28,28,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/graphic/batt_bg.narc,identical,bcf2c24ae32b38a546b9b293b16af3782b706fd6dc5ec9d58c1e245655ce05ab,bcf2c24ae32b38a546b9b293b16af3782b706fd6dc5ec9d58c1e245655ce05ab,257,257,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/graphic/batt_obj.narc,identical,04e5df4768970cc2c677047efd2f280a17f522017cad05436badf52d4e00ae82,04e5df4768970cc2c677047efd2f280a17f522017cad05436badf52d4e00ae82,279,279,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/graphic/vs_demo_gra.narc,identical,0f2b6db0502d559797ce7bf9c56b84fdbb5d8deed2113447e407d06b09a8af4c,0f2b6db0502d559797ce7bf9c56b84fdbb5d8deed2113447e407d06b09a8af4c,9,9,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/skill/be_seq.narc,identical,9bef02e3319ba414c4146b5fff87fd727b72a655079fb3ff68a4f7c24f17b476,9bef02e3319ba414c4146b5fff87fd727b72a655079fb3ff68a4f7c24f17b476,277,277,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/skill/sub_seq.narc,identical,0cd8c8fc49d79a2b852c5427f0bfd1a8d7ecb1f60e8154c83ee191feae4f86af,0cd8c8fc49d79a2b852c5427f0bfd1a8d7ecb1f60e8154c83ee191feae4f86af,293,293,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/skill/waza_seq.narc,identical,31a96dbb1ae49166726cc66e604444d24ab92eed57103822cef84630afe80e89,31a96dbb1ae49166726cc66e604444d24ab92eed57103822cef84630afe80e89,501,501,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/battle/tr_ai/tr_ai_seq.narc,identical,74b17cd373c63c5aa9fa5e7e909c7037f768b443c726eee51ed0f0278efd709d,74b17cd373c63c5aa9fa5e7e909c7037f768b443c726eee51ed0f0278efd709d,1,1,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/contest/data/contest_data.narc,identical,7cf7c17d07b805fc4d6c65b7b23e6d25b0b94e87f5cf0d729c308ed2b1b9496f,7cf7c17d07b805fc4d6c65b7b23e6d25b0b94e87f5cf0d729c308ed2b1b9496f,15,15,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/contest/graphic/contest_bg.narc,identical,604fc581c1d39592afe5ea72a2a14365c9a06c2c4c0b4267b4663d58248bf8da,604fc581c1d39592afe5ea72a2a14365c9a06c2c4c0b4267b4663d58248bf8da,40,40,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/contest/graphic/contest_obj.narc,identical,43bb5b2c71de2e630bafac397cc0e103f3add14645d2a2ecc73280f7e2f42bd1,43bb5b2c71de2e630bafac397cc0e103f3add14645d2a2ecc73280f7e2f42bd1,97,97,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/demo_climax.narc,identical,18d011c800914e0410979a16996dcdf6cca15ba384aa85d9973a769ab6def94e,18d011c800914e0410979a16996dcdf6cca15ba384aa85d9973a769ab6def94e,20,20,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/field_cutin.narc,identical,1634f209420540f1fda098e8269f7830debbad9e33ad3fc3a33c1fd1bd89598e,1634f209420540f1fda098e8269f7830debbad9e33ad3fc3a33c1fd1bd89598e,19,19,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/mmodel/fldeff.narc,identical,6bd19c67ab558cebe32bfc8c031ff2995ad2f494ff8826eff781cd6a0c24c701,6bd19c67ab558cebe32bfc8c031ff2995ad2f494ff8826eff781cd6a0c24c701,129,129,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/mmodel/mmodel.narc,identical,888316b815ca5c290cf13865005536cba79ed2ee84982d391cd348a390993bcf,888316b815ca5c290cf13865005536cba79ed2ee84982d391cd348a390993bcf,414,414,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/namein.narc,identical,7143a5494cdd8f390b60da3dc7cb5ad9577f61dd6b1d27c9f941b4935c4c68f2,7143a5494cdd8f390b60da3dc7cb5ad9577f61dd6b1d27c9f941b4935c4c68f2,19,19,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/slot.narc,identical,f8f3652b02d4ca83e6962e925333721d7e01d8ce004ae4ada7bc5493b05e4b49,f8f3652b02d4ca83e6962e925333721d7e01d8ce004ae4ada7bc5493b05e4b49,77,77,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/tradelist.narc,identical,69ff435241dccf7824b576313f539c64ee48d0b3d148f2926e8f8abc9dca0f5b,69ff435241dccf7824b576313f539c64ee48d0b3d148f2926e8f8abc9dca0f5b,13,13,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/trapmark.narc,identical,6f577df39a0bc2efb3605011ec4b424575c4316d5c361f88a461d7ac89455a79,6f577df39a0bc2efb3605011ec4b424575c4316d5c361f88a461d7ac89455a79,1,1,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/ug_anim.narc,identical,cd49b51638dcf62c8f98725b613496d430b88ceab8c890d152f615548c69fb89,cd49b51638dcf62c8f98725b613496d430b88ceab8c890d152f615548c69fb89,8,8,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/ug_fossil.narc,identical,4f48a58a7eaedfe8274d27bc35ca478f9d66e677a8fe766f3fd8ceaaf6642236,4f48a58a7eaedfe8274d27bc35ca478f9d66e677a8fe766f3fd8ceaaf6642236,3,3,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/ug_parts.narc,identical,6aef71920a64161cb0879222c36a89a2b6a2be34db605b8ad68766c2b5f2c68d,6aef71920a64161cb0879222c36a89a2b6a2be34db605b8ad68766c2b5f2c68d,116,116,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/ug_radar.narc,identical,38c022b32cbfb6be13a80aef230dceb386785284da947a1357a44d8a6019fec2,38c022b32cbfb6be13a80aef230dceb386785284da947a1357a44d8a6019fec2,7,7,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/ug_trap.narc,identical,41fd698d83b7f883100b7cd2d2796486ac6fd2293da4736e1fda7bbaee571fc3,41fd698d83b7f883100b7cd2d2796486ac6fd2293da4736e1fda7bbaee571fc3,53,53,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/ugeffect_obj_graphic.narc,identical,7b5ddd52efc8daeb79eb517c71f72c2f6da461a4723eb80cc72ef7ea065d2ffb,7b5ddd52efc8daeb79eb517c71f72c2f6da461a4723eb80cc72ef7ea065d2ffb,9,9,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/underg_radar.narc,identical,f02b453a55678f112c31b7a78b794d132b25212641a767f83f3cf42017cd704d,f02b453a55678f112c31b7a78b794d132b25212641a767f83f3cf42017cd704d,7,7,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/weather_sys.narc,identical,a52f8b2f311a1397a1a97a011d904f5ca28e6674239f16605515a5b5eeee59c3,a52f8b2f311a1397a1a97a011d904f5ca28e6674239f16605515a5b5eeee59c3,59,59,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/wifinote.narc,identical,85e6f3744806c16014eff71abcfe70e4cd7b60cc80bebdb542617f92df00c82b,85e6f3744806c16014eff71abcfe70e4cd7b60cc80bebdb542617f92df00c82b,12,12,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/data/wifip2pmatch.narc,identical,aeeec3912fc435255ab8f076a5124c8afa6866b6710ec09f9a71f137165ed20f,aeeec3912fc435255ab8f076a5124c8afa6866b6710ec09f9a71f137165ed20f,11,11,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/demo/egg/data/egg_data.narc,identical,c4fcc55205b9fbc52a00fad3451b6f8766e94bb05f90578ff7f66cc78ea8a134,c4fcc55205b9fbc52a00fad3451b6f8766e94bb05f90578ff7f66cc78ea8a134,11,11,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/demo/egg/data/particle/egg_demo_particle.narc,identical,97429870ad23f453d0d10aae69d899ddc9825b2ecd6fe06917563d9f54b4819a,97429870ad23f453d0d10aae69d899ddc9825b2ecd6fe06917563d9f54b4819a,2,2,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/demo/intro/intro.narc,identical,848fee0f0e9d86bdf02709749ab8a7908e2c9e3a598a528c5f8f00a03f6d4649,848fee0f0e9d86bdf02709749ab8a7908e2c9e3a598a528c5f8f00a03f6d4649,48,48,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/demo/intro/intro_tv.narc,identical,a2b72b17bdb24a6b7229a30244b06e718c3e923887912cd035bd4c30c1410b60,a2b72b17bdb24a6b7229a30244b06e718c3e923887912cd035bd4c30c1410b60,7,7,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/demo/shinka/data/particle/shinka_demo_particle.narc,identical,4519249fa8c3c6da9c20579dde3a6447aaa77b05f5c33f8f92eff5cbdbd4a3b1,4519249fa8c3c6da9c20579dde3a6447aaa77b05f5c33f8f92eff5cbdbd4a3b1,2,2,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/demo/syoujyou/syoujyou.narc,identical,2864aeaf82701fc0c9668ad609779a41a97a347d43c1b2207fb053516ab0b7f3,2864aeaf82701fc0c9668ad609779a41a97a347d43c1b2207fb053516ab0b7f3,12,12,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/demo/title/op_demo.narc,identical,8336cb1c146eb1d18f0bd5ac61b83327ab2f952667cc65c27523f2c695933aaf,8336cb1c146eb1d18f0bd5ac61b83327ab2f952667cc65c27523f2c695933aaf,74,74,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/demo/title/titledemo.narc,identical,78f6975f4c51cda3ade8c4d9547786d48632d3a7c8f73be9d8042c55adc69f60,78f6975f4c51cda3ade8c4d9547786d48632d3a7c8f73be9d8042c55adc69f60,20,20,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/areadata/area_build_model/area_build.narc,identical,2b6b92d60559faacd6682355303462e135f3eda456f0b2a28a25bc46ec37c6aa,2b6b92d60559faacd6682355303462e135f3eda456f0b2a28a25bc46ec37c6aa,55,55,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/areadata/area_build_model/areabm_texset.narc,identical,717a9dcca499b1c75f0c31cbd37f0e24b2703bf03c61e92bb5553dcfb0dfd6a7,717a9dcca499b1c75f0c31cbd37f0e24b2703bf03c61e92bb5553dcfb0dfd6a7,55,55,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/areadata/area_data.narc,identical,e839931d138154a330ce9bfd04b0db8da5ac4f2d28f73919e2abe5e6da2b5e6e,e839931d138154a330ce9bfd04b0db8da5ac4f2d28f73919e2abe5e6da2b5e6e,59,59,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/areadata/area_map_tex/map_tex_set.narc,identical,d333762813f9d4fb136a9d1bab08f06e612902b5e16f8cd7e28866179d16fb3d,d333762813f9d4fb136a9d1bab08f06e612902b5e16f8cd7e28866179d16fb3d,58,58,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/areadata/area_move_model/move_model_list.narc,identical,a7c17c4e3c40975ca46762ebbf7dc0aedc02793c50b2f030cc220f766ecd52ba,a7c17c4e3c40975ca46762ebbf7dc0aedc02793c50b2f030cc220f766ecd52ba,59,59,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/build_model/build_model.narc,identical,9162d14c30396dadb096ed31bf05abb5f1faf81c233b8b7f54ec56e3e23069fc,9162d14c30396dadb096ed31bf05abb5f1faf81c233b8b7f54ec56e3e23069fc,535,535,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/encountdata/d_enc_data.narc,identical,8872da981014c6da71a0ba6d20ad05ccefafa3e1895d9b1295f588fd7af64080,8872da981014c6da71a0ba6d20ad05ccefafa3e1895d9b1295f588fd7af64080,183,183,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/encountdata/p_enc_data.narc,identical,41be039d459f5eeacfb537a79d3237cfe3b0ba9d3e4310f40d6d2c20853839e6,41be039d459f5eeacfb537a79d3237cfe3b0ba9d3e4310f40d6d2c20853839e6,183,183,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/eventdata/zone_event_release.narc,identical,3b61439a26b1c4bc6de9b1301a5a3073f6edf2b392082a4427e8ef3228bb23a4,3b61439a26b1c4bc6de9b1301a5a3073f6edf2b392082a4427e8ef3228bb23a4,512,512,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/land_data/land_data_release.narc,identical,1c8d3c0e0c2de3170a61c8b021e4a1c6e8ece54fbe65f4c7faff2bcc83b1e1e1,1c8d3c0e0c2de3170a61c8b021e4a1c6e8ece54fbe65f4c7faff2bcc83b1e1e1,578,578,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/mapmatrix/map_matrix.narc,identical,22190b1455e3655a239ff6340c577d03839247725d6a01dcf11931c549fdb339,22190b1455e3655a239ff6340c577d03839247725d6a01dcf11931c549fdb339,245,245,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/mm_list/move_model_list.narc,identical,565877e4a06cb02b58f02a3f261735d34b1f4fc7c5801b0afb3a9e78c4860e82,565877e4a06cb02b58f02a3f261735d34b1f4fc7c5801b0afb3a9e78c4860e82,16,16,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/pokemon_trade/fld_trade.narc,identical,f7884ee1a0b23399f4e9cb6317b1d61ee10cf99a6ed8bb64f971e79fd27f4101,f7884ee1a0b23399f4e9cb6317b1d61ee10cf99a6ed8bb64f971e79fd27f4101,4,4,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/fielddata/script/scr_seq_release.narc,identical,c62e6f7f537fbff6604ba0e7985270ace40562d5a6912f2661b892545f039af7,c62e6f7f537fbff6604ba0e7985270ace40562d5a6912f2661b892545f039af7,1051,1051,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/graphic/bag_gra.narc,identical,5e1d21ef61cc5a3236f83a785295e5f8354706623e0898ab39a114e235b75c1d,5e1d21ef61cc5a3236f83a785295e5f8354706623e0898ab39a114e235b75c1d,39,39,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/graphic/box.narc,identical,91851f69a7d2349126a90c1b4c0d517b1f09b518434ce5e6c5a10c88efa8d848,91851f69a7d2349126a90c1b4c0d517b1f09b518434ce5e6c5a10c88efa8d848,121,121,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/graphic/btower.narc,identical,44ed333d18cbf238ccf8e3b40777ef5865f8b1607f2c9523eb86d66ac9113b17,44ed333d18cbf238ccf8e3b40777ef5865f8b1607f2c9523eb86d66ac9113b17,9,9,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/graphic/config_gra.narc,identical,cd4fdb2d299ace3698da3ca72f4acf961759128fa4fd08dc3afe50c0396778e6,cd4fdb2d299ace3698da3ca72f4acf961759128fa4fd08dc3afe50c0396778e6,3,3,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/graphic/demo_trade.narc,identical,84c5643070177367c342b8d5a18c679639b03c305b77933fb007a929e74f99cf,84c5643070177367c342b8d5a18c679639b03c305b77933fb007a929e74f99cf,28,28,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/graphic/dendou_demo.narc,identical,d3f76c5c4cc8c5fa92b659a0e8442e36eb9523d8f4fd33144f684926995e9e95,d3f76c5c4cc8c5fa92b659a0e8442e36eb9523d8f4fd33144f684926995e9e95,5,5,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/graphic/dendou_pc.narc,identical,3844b3b7482c93aa0e6397e3ed09f390e61e10bbc839b902ed26760b30c68dae,3844b3b7482c93aa0e6397e3ed09f390e61e10bbc839b902ed26760b30c68dae,3,3,0
"Pokémon Diamond Version (USA, ADAE, header ROM version 5)","Pokémon Pearl Version (USA, APAE, header ROM version 5)",/graphic/ending.narc,identical,a1584955051e0f3d5394b98c60e1f4c4400652ed841999dc33a2344d0d9c9941,a1584955051e0f3d5394b98c60e1f4c4400652ed841999dc33a2344d0d9c9941,67,67,0
