left,right,container_chain,operation,left_member_index,right_member_index,left_name,right_name,left_sha256,right_sha256,left_size,right_size,left_format,right_format
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1079,1079,,,244b8197758d1a6b6dccaffabf76bf713255c3cbe14bfc9a84190f5250c426bc,244b8197758d1a6b6dccaffabf76bf713255c3cbe14bfc9a84190f5250c426bc,72,72,NCLR palette,NCLR palette
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1080,1080,,,99105359f4829552755ace99ebc0faf30071ec62d89e4246c666546fc6a1f577,99105359f4829552755ace99ebc0faf30071ec62d89e4246c666546fc6a1f577,6448,6448,NCGR graphics,NCGR graphics
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1081,1081,,,99105359f4829552755ace99ebc0faf30071ec62d89e4246c666546fc6a1f577,99105359f4829552755ace99ebc0faf30071ec62d89e4246c666546fc6a1f577,6448,6448,NCGR graphics,NCGR graphics
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1082,1082,,,9e98f892e743e2f9f05ccc46735d39e03407dbeb27ee7a1d7755414b1275ee4c,9e98f892e743e2f9f05ccc46735d39e03407dbeb27ee7a1d7755414b1275ee4c,6448,6448,NCGR graphics,NCGR graphics
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1083,1083,,,9e98f892e743e2f9f05ccc46735d39e03407dbeb27ee7a1d7755414b1275ee4c,9e98f892e743e2f9f05ccc46735d39e03407dbeb27ee7a1d7755414b1275ee4c,6448,6448,NCGR graphics,NCGR graphics
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1084,1084,,,b239e436498ad2b7095a2197bca99844a49e16caa72e5368b3a658ba6c635c7e,b239e436498ad2b7095a2197bca99844a49e16caa72e5368b3a658ba6c635c7e,72,72,NCLR palette,NCLR palette
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1085,1085,,,81c00852fcdd87661863f2cddcde55a9ce89b141637b418b4faacd78007f8067,81c00852fcdd87661863f2cddcde55a9ce89b141637b418b4faacd78007f8067,72,72,NCLR palette,NCLR palette
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1086,1086,,,4c8e1a828523b3c24dd9b0e221171546d98e4ace99afcd837906219d6eda5b67,4c8e1a828523b3c24dd9b0e221171546d98e4ace99afcd837906219d6eda5b67,6448,6448,NCGR graphics,NCGR graphics
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1087,1087,,,4c8e1a828523b3c24dd9b0e221171546d98e4ace99afcd837906219d6eda5b67,4c8e1a828523b3c24dd9b0e221171546d98e4ace99afcd837906219d6eda5b67,6448,6448,NCGR graphics,NCGR graphics
"포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)","포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)",/pbr/pokegra.narc,equal,1088,1088,,,6c420b48a2dba317850c386d74ee1c5d258f69f80ab69093743d576e536cc487,6c420b48a2dba317850c386d74ee1c5d258f69f80ab69093743d576e536cc487,6448,6448,NCGR graphics,NCGR graphics
